Year,Date,Average_Temperature (℃),Total_Precipitation (mm),Average_wind_speed(m/s),Is_Holiday,Match_Number,Rain_Zero_Flag,Occupancy,Weekday_Friday,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,Opponent_DeNA,Opponent_オリックス,Opponent_ヤクルト,Opponent_ロッテ,Opponent_中日,Opponent_巨人,Opponent_広島,Opponent_日本ハム,Opponent_楽天,Opponent_西武,Opponent_阪神
2015,2015-03-27,12.2,0.0,1.7,0,1,1,0.9977970714008034,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,2015-03-28,16.1,0.0,2.2,0,2,1,0.9692108332253466,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,2015-03-29,16.1,0.0,2.5,0,3,1,0.9878968511079435,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,2015-03-31,17.1,0.0,2.8,0,4,1,0.784449915770377,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-04-01,16.1,3.5,3.2,0,5,0,0.8085525463262926,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015,2015-04-02,19.4,0.0,3.0,0,6,1,0.8300894129843204,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-04-21,14.4,0.0,4.8,0,7,1,0.8118180640145134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015,2015-04-22,16.3,0.0,2.4,0,8,1,0.8105222236620448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015,2015-04-24,17.2,0.0,2.4,0,9,1,0.894311260852663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-04-25,17.0,0.0,2.2,0,10,1,0.8445509913178696,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-04-26,19.2,0.0,2.2,0,11,1,0.9977970714008034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-05-04,20.4,1.0,2.9,1,12,0,0.8923415835169107,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,2015-05-05,18.7,0.0,3.1,1,13,1,0.933238305040819,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015,2015-05-06,17.5,0.0,2.0,1,14,1,0.886432551509654,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015,2015-05-08,19.5,0.0,2.3,0,15,1,0.7278994427886485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,2015-05-09,18.8,4.0,2.7,0,16,0,0.9977970714008034,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,2015-05-10,19.1,0.0,2.8,0,17,1,0.8072307891667746,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,2015-05-15,22.9,2.5,2.0,0,18,0,0.8090967992743294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-05-16,17.9,24.0,3.1,0,19,0,0.8834521186989763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-05-17,19.5,0.0,2.2,0,20,1,0.9171439678631592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-05-20,19.6,0.0,2.9,0,21,1,0.7940391343786446,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015,2015-05-21,19.0,0.0,2.5,0,22,1,0.8195412725152261,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-05-29,23.9,0.0,2.8,0,23,1,0.923467668783206,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,2015-05-30,21.6,4.5,2.1,0,24,0,0.9442011144227032,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,2015-05-31,21.6,0.0,4.0,0,25,1,0.9589218608267461,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,2015-06-09,21.1,3.0,2.4,0,26,0,0.8929117532719969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015,2015-06-10,22.4,1.0,1.7,0,27,0,0.9071400803421018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015,2015-06-11,23.8,21.0,2.4,0,28,0,0.8524297006608785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,2015-06-12,25.5,0.0,2.4,0,29,1,0.9977970714008034,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,2015-06-13,24.2,0.0,3.6,0,30,1,0.9977970714008034,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,2015-06-14,23.9,0.0,2.7,0,31,1,0.9977970714008034,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,2015-06-19,21.6,5.0,3.6,0,32,0,0.9977970714008034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,2015-06-20,22.2,1.0,3.6,0,33,0,0.9977970714008034,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,2015-06-21,22.8,0.0,3.3,0,34,1,0.9977970714008034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,2015-07-01,22.7,51.5,2.6,0,35,0,0.9977970714008034,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015,2015-07-02,22.8,0.0,2.0,0,36,1,0.9977970714008034,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-07-07,23.2,37.0,1.8,0,37,0,0.9977970714008034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015,2015-07-21,26.2,9.5,2.1,0,38,0,0.9977970714008034,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015,2015-07-22,25.4,46.5,2.6,0,39,0,0.9977970714008034,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015,2015-07-24,29.8,0.0,3.0,0,40,1,0.9977970714008034,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-07-25,29.1,0.0,2.5,0,41,1,0.9977970714008034,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-07-26,28.8,1.5,2.9,0,42,0,0.9977970714008034,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-08-04,29.4,0.0,2.6,0,43,1,0.9977970714008034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015,2015-08-05,29.9,0.0,2.5,0,44,1,0.9523130750291564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,2015-08-06,31.2,0.0,2.5,0,45,1,0.9449267850200855,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,2015-08-11,29.6,0.0,2.6,0,46,1,0.9977970714008034,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-08-12,26.1,43.5,3.1,0,47,0,0.9951017234676688,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015,2015-08-13,26.3,3.0,3.2,0,48,0,0.9420759362446547,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,2015-08-14,27.1,0.0,2.3,0,49,1,0.9350265647272256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,2015-08-15,27.5,0.0,2.5,0,50,1,0.9214979914474537,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
