Year,Date,Audience,Opponent,Weekday,Average_Temperature (℃),Total_Precipitation (mm),Average_wind_speed(m/s)
2015,2015-03-27,38500,ロッテ,Friday,12.2,0.0,1.7
2015,2015-03-28,37397,ロッテ,Saturday,16.1,0.0,2.2
2015,2015-03-29,38118,ロッテ,Sunday,16.1,0.0,2.5
2015,2015-03-31,30268,オリックス,Tuesday,17.1,0.0,2.8
2015,2015-04-01,31198,オリックス,Wednesday,16.1,3.5,3.2
2015,2015-04-02,32029,オリックス,Thursday,19.4,0.0,3.0
2015,2015-04-21,31324,楽天,Tuesday,14.4,0.0,4.8
2015,2015-04-22,31274,楽天,Wednesday,16.3,0.0,2.4
2015,2015-04-24,34507,西武,Friday,17.2,0.0,2.4
2015,2015-04-25,32587,西武,Saturday,17.0,0.0,2.2
2015,2015-04-26,38500,西武,Sunday,19.2,0.0,2.2
2015,2015-05-04,34431,ロッテ,Monday,20.4,1.0,2.9
2015,2015-05-05,36009,ロッテ,Tuesday,18.7,0.0,3.1
2015,2015-05-06,34203,ロッテ,Wednesday,17.5,0.0,2.0
2015,2015-05-08,28086,楽天,Friday,19.5,0.0,2.3
2015,2015-05-09,38500,楽天,Saturday,18.8,4.0,2.7
2015,2015-05-10,31147,楽天,Sunday,19.1,0.0,2.8
2015,2015-05-15,31219,西武,Friday,22.9,2.5,2.0
2015,2015-05-16,34088,西武,Saturday,17.9,24.0,3.1
2015,2015-05-17,35388,西武,Sunday,19.5,0.0,2.2
2015,2015-05-20,30638,オリックス,Wednesday,19.6,0.0,2.9
2015,2015-05-21,31622,オリックス,Thursday,19.0,0.0,2.5
2015,2015-05-29,35632,ヤクルト,Friday,23.9,0.0,2.8
2015,2015-05-30,36432,ヤクルト,Saturday,21.6,4.5,2.1
2015,2015-05-31,37000,ヤクルト,Sunday,21.6,0.0,4.0
2015,2015-06-09,34453,阪神,Tuesday,21.1,3.0,2.4
2015,2015-06-10,35002,阪神,Wednesday,22.4,1.0,1.7
2015,2015-06-11,32891,阪神,Thursday,23.8,21.0,2.4
2015,2015-06-12,38500,広島,Friday,25.5,0.0,2.4
2015,2015-06-13,38500,広島,Saturday,24.2,0.0,3.6
2015,2015-06-14,38500,広島,Sunday,23.9,0.0,2.7
2015,2015-06-19,38500,日本ハム,Friday,21.6,5.0,3.6
2015,2015-06-20,38500,日本ハム,Saturday,22.2,1.0,3.6
2015,2015-06-21,38500,日本ハム,Sunday,22.8,0.0,3.3
2015,2015-07-01,38500,西武,Wednesday,22.7,51.5,2.6
2015,2015-07-02,38500,西武,Thursday,22.8,0.0,2.0
2015,2015-07-07,38500,楽天,Tuesday,23.2,37.0,1.8
2015,2015-07-21,38500,ロッテ,Tuesday,26.2,9.5,2.1
2015,2015-07-22,38500,ロッテ,Wednesday,25.4,46.5,2.6
2015,2015-07-24,38500,オリックス,Friday,29.8,0.0,3.0
2015,2015-07-25,38500,オリックス,Saturday,29.1,0.0,2.5
2015,2015-07-26,38500,オリックス,Sunday,28.8,1.5,2.9
2015,2015-08-04,38500,日本ハム,Tuesday,29.4,0.0,2.6
2015,2015-08-05,36745,日本ハム,Wednesday,29.9,0.0,2.5
2015,2015-08-06,36460,日本ハム,Thursday,31.2,0.0,2.5
2015,2015-08-11,38500,オリックス,Tuesday,29.6,0.0,2.6
2015,2015-08-12,38396,オリックス,Wednesday,26.1,43.5,3.1
2015,2015-08-13,36350,オリックス,Thursday,26.3,3.0,3.2
2015,2015-08-14,36078,西武,Friday,27.1,0.0,2.3
2015,2015-08-15,35556,西武,Saturday,27.5,0.0,2.5
2015,2015-08-16,37407,西武,Sunday,27.3,64.5,1.8
2015,2015-08-25,33388,ロッテ,Tuesday,23.6,75.5,5.9
2015,2015-08-26,36947,ロッテ,Wednesday,24.3,1.0,2.1
2015,2015-08-28,38500,日本ハム,Friday,25.5,11.0,2.1
2015,2015-08-29,38500,日本ハム,Saturday,24.4,2.5,1.8
2015,2015-08-30,38500,日本ハム,Sunday,25.0,0.0,1.8
2015,2015-09-04,38500,楽天,Friday,25.5,0.0,2.8
2015,2015-09-05,38500,楽天,Saturday,24.2,9.5,1.6
2015,2015-09-06,38500,楽天,Sunday,22.8,13.5,3.0
2015,2015-09-17,38500,西武,Thursday,23.0,5.5,2.1
2015,2015-09-18,32308,ロッテ,Friday,23.1,0.0,4.9
2015,2015-09-19,38500,ロッテ,Saturday,22.2,0.0,3.4
2015,2015-09-20,38500,ロッテ,Sunday,22.1,0.0,2.9
2015,2015-09-28,35808,日本ハム,Monday,24.2,0.0,2.9
2015,2015-09-29,29705,楽天,Tuesday,24.1,0.0,3.7
2015,2015-09-30,28690,楽天,Wednesday,21.0,5.0,1.7
2015,2015-10-01,32625,楽天,Thursday,23.5,67.5,4.3
2016,2016-03-29,38500,西武,Tuesday,13.8,0.0,3.0
2016,2016-03-30,34300,西武,Wednesday,16.3,0.0,2.5
2016,2016-04-05,35165,ロッテ,Tuesday,15.1,0.0,2.3
2016,2016-04-06,30016,ロッテ,Wednesday,15.9,2.5,2.0
2016,2016-04-07,28407,ロッテ,Thursday,18.5,37.5,3.7
2016,2016-04-15,27871,楽天,Friday,16.8,0.0,3.1
2016,2016-04-17,33720,楽天,Sunday,17.5,10.0,5.1
2016,2016-04-23,32646,日本ハム,Saturday,16.9,2.5,1.8
2016,2016-04-24,35563,日本ハム,Sunday,16.8,0.0,2.2
2016,2016-04-29,35622,西武,Friday,15.1,0.0,2.8
2016,2016-04-30,35115,西武,Saturday,18.2,0.0,2.4
2016,2016-05-01,34886,西武,Sunday,20.2,0.0,2.4
2016,2016-05-06,30685,楽天,Friday,19.2,10.0,3.7
2016,2016-05-07,38500,楽天,Saturday,19.8,0.0,2.5
2016,2016-05-08,35714,楽天,Sunday,20.8,1.5,2.0
2016,2016-05-10,29160,ロッテ,Tuesday,19.4,22.0,2.7
2016,2016-05-11,30335,ロッテ,Wednesday,15.5,6.5,4.0
2016,2016-05-12,32020,ロッテ,Thursday,18.1,0.0,2.2
2016,2016-05-18,36101,日本ハム,Wednesday,19.3,0.0,2.2
2016,2016-05-19,34909,日本ハム,Thursday,22.0,0.0,2.2
2016,2016-05-24,32275,オリックス,Tuesday,24.2,15.0,3.4
2016,2016-05-25,32112,オリックス,Wednesday,22.1,1.5,2.1
2016,2016-05-26,33907,オリックス,Thursday,23.6,0.0,2.5
2016,2016-05-31,34553,中日,Tuesday,23.8,0.0,2.2
2016,2016-06-01,35045,中日,Wednesday,21.8,0.0,3.5
2016,2016-06-02,34693,中日,Thursday,20.4,0.0,4.3
2016,2016-06-07,34028,DeNA,Tuesday,23.4,0.0,2.0
2016,2016-06-08,35761,DeNA,Wednesday,23.4,0.0,2.3
2016,2016-06-09,33632,DeNA,Thursday,23.4,1.0,2.5
2016,2016-06-10,37618,巨人,Friday,24.3,0.0,2.5
2016,2016-06-11,38500,巨人,Saturday,26.5,0.0,2.2
2016,2016-06-12,38500,巨人,Sunday,23.9,12.0,2.2
2016,2016-06-29,38043,ロッテ,Wednesday,23.3,44.0,1.7
2016,2016-06-30,38027,ロッテ,Thursday,25.0,0.0,1.7
2016,2016-07-01,38389,日本ハム,Friday,27.8,0.5,3.5
2016,2016-07-02,38500,日本ハム,Saturday,30.3,0.5,4.7
2016,2016-07-03,38500,日本ハム,Sunday,30.0,1.5,3.2
2016,2016-07-08,35237,楽天,Friday,24.9,41.5,2.4
2016,2016-07-09,36617,楽天,Saturday,26.2,0.5,2.2
2016,2016-07-10,38500,楽天,Sunday,27.1,6.5,1.9
2016,2016-07-18,38500,オリックス,Monday,27.1,0.0,2.5
2016,2016-07-19,38500,オリックス,Tuesday,27.4,0.0,2.9
2016,2016-07-22,38500,西武,Friday,26.2,0.0,3.1
2016,2016-07-23,38500,西武,Saturday,27.9,0.0,2.3
2016,2016-07-24,38500,西武,Sunday,29.4,0.0,2.2
2016,2016-08-05,37093,日本ハム,Friday,29.5,11.5,2.5
2016,2016-08-06,38500,日本ハム,Saturday,28.7,31.5,2.1
2016,2016-08-07,38500,日本ハム,Sunday,29.8,0.0,2.0
2016,2016-08-16,38500,西武,Tuesday,29.7,0.0,2.5
2016,2016-08-23,38500,楽天,Tuesday,29.5,0.0,4.3
2016,2016-08-24,37936,楽天,Wednesday,29.7,0.0,2.8
2016,2016-08-25,36330,楽天,Thursday,30.6,0.0,2.3
2016,2016-08-26,36354,ロッテ,Friday,28.8,0.0,4.8
2016,2016-08-27,38500,ロッテ,Saturday,26.9,0.0,5.0
2016,2016-08-28,38500,ロッテ,Sunday,24.7,56.5,3.3
2016,2016-09-06,37502,オリックス,Tuesday,27.0,0.0,2.3
2016,2016-09-07,38500,オリックス,Wednesday,26.5,44.5,2.7
2016,2016-09-10,37866,西武,Saturday,26.1,0.0,1.9
2016,2016-09-11,38500,西武,Sunday,26.6,0.0,2.2
2016,2016-09-17,38500,オリックス,Saturday,27.8,8.0,3.1
2016,2016-09-18,38500,オリックス,Sunday,24.7,135.0,1.5
2016,2016-09-19,38500,オリックス,Monday,23.2,16.0,3.9
2016,2016-09-21,38500,日本ハム,Wednesday,22.9,0.0,3.2
2016,2016-09-22,38500,日本ハム,Thursday,22.7,0.0,1.8
2016,2016-09-30,35473,楽天,Friday,23.4,27.0,1.5
2017,2017-03-31,38585,ロッテ,Friday,10.5,10.5,2.6
2017,2017-04-01,38270,ロッテ,Saturday,10.8,2.5,2.7
2017,2017-04-02,38585,ロッテ,Sunday,10.2,8.0,3.9
2017,2017-04-14,30748,オリックス,Friday,18.0,0.0,3.4
2017,2017-04-15,37616,オリックス,Saturday,20.0,10.5,2.4
