Year,Date,Audience,Result,Score,Opponent,Pitcher,GameTime,Venue
2015,3月27日(金),38500,●,1 - 3,ロッテ,攝津,3:17,ヤフオクドーム
2015,3月28日(土),37397,○,4 - 2,ロッテ,スタンリッジ,2:37,ヤフオクドーム
2015,3月29日(日),38118,●,4 - 5,ロッテ,中田,3:21,ヤフオクドーム
2015,3月31日(火),30268,○,7 - 0,オリックス,大隣,2:31,ヤフオクドーム
2015,4月1日(水),31198,●,7 - 10,オリックス,武田,3:36,ヤフオクドーム
2015,4月2日(木),32029,○,5 - 4,オリックス,東浜,3:58,ヤフオクドーム
2015,4月11日(土),19079,○,4 - 2,日本ハム,攝津,3:00,鹿児島
2015,4月12日(日),15088,●,0 - 1,日本ハム,スタンリッジ,2:59,熊本
2015,4月21日(火),31324,○,7 - 1,楽天,大隣,3:21,ヤフオクドーム
2015,4月22日(水),31274,○,2 - 1,楽天,武田,2:49,ヤフオクドーム
2015,4月24日(金),34507,△,3 - 3,西武,中田,4:02,ヤフオクドーム
2015,4月25日(土),32587,●,2 - 4,西武,攝津,3:23,ヤフオクドーム
2015,4月26日(日),38500,●,7 - 9,西武,スタンリッジ,3:34,ヤフオクドーム
2015,5月4日(月),34431,○,5 - 4,ロッテ,大隣,2:52,ヤフオクドーム
2015,5月5日(火),36009,○,4 - 3,ロッテ,寺原,3:36,ヤフオクドーム
2015,5月6日(水),34203,●,4 - 7,ロッテ,武田,3:25,ヤフオクドーム
2015,5月8日(金),28086,○,5 - 3,楽天,中田,3:15,ヤフオクドーム
2015,5月9日(土),38500,●,2 - 3,楽天,攝津,4:33,ヤフオクドーム
2015,5月10日(日),31147,○,10 - 1,楽天,スタンリッジ,3:22,ヤフオクドーム
2015,5月15日(金),31219,△,3 - 3,西武,武田,3:43,ヤフオクドーム
2015,5月16日(土),34088,○,12 - 4,西武,攝津,3:15,ヤフオクドーム
2015,5月17日(日),35388,○,4 - 1,西武,スタンリッジ,2:55,ヤフオクドーム
2015,5月19日(火),17855,●,5 - 8,オリックス,大隣,3:44,北九州
2015,5月20日(水),30638,○,3 - 2,オリックス,中田,3:32,ヤフオクドーム
2015,5月21日(木),31622,○,10 - 6,オリックス,武田,3:16,ヤフオクドーム
2015,5月29日(金),35632,○,7 - 4,ヤクルト,攝津,3:16,ヤフオクドーム
2015,5月30日(土),36432,●,3 - 5,ヤクルト,スタンリッジ,3:31,ヤフオクドーム
2015,5月31日(日),37000,○,5 - 2,ヤクルト,寺原,3:17,ヤフオクドーム
2015,6月9日(火),34453,○,5 - 0,阪神,大隣,3:31,ヤフオクドーム
2015,6月10日(水),35002,●,4 - 5,阪神,中田,3:15,ヤフオクドーム
2015,6月11日(木),32891,○,5 - 3,阪神,武田,4:25,ヤフオクドーム
2015,6月12日(金),38500,●,0 - 6,広島,攝津,2:57,ヤフオクドーム
2015,6月13日(土),38500,●,3 - 9,広島,スタンリッジ,3:51,ヤフオクドーム
2015,6月14日(日),38500,○,7 - 2,広島,バンデンハーク,3:02,ヤフオクドーム
2015,6月19日(金),38500,○,4 - 3,日本ハム,中田,3:59,ヤフオクドーム
